Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 2117 C,34.41,18.29,-48.73,51.82,0,15.03,12.02,0,0,0,21.13,0,0
PANTONE 2118 C,25.2,16.39,-41.07,43.04,0,0,0,0,0,0,14.31,31.26,11.39
PANTONE 2119 C,21.08,13.42,-34.83,1.21,0,0,56.88,0,0,0,26.7,0,15.21
PANTONE 212 C,59.95,68.12,-5.43,51.63,10.6,0,37.77,0,0,0,0,0,0
PANTONE 2120 C,81.12,1.95,-22.04,96.32,0,0,0,0,0,0,1.59,2.09,0
PANTONE 2121 C,69.11,-0.89,-30.58,91.39,0,0,0,0,0,1.01,3.62,3.98,0
PANTONE 2122 C,70.88,4.22,-34.44,91.79,0,0,0,0,0,0,3.61,4.6,0
PANTONE 2123 C,61.21,7.28,-44.96,85.37,0,0,0,0,0,0,6.55,8.08,0
PANTONE 2124 C,53.62,15.03,-51.45,79.32,0,0,0,0,0,0,7.59,13.09,0
PANTONE 2125 C,44.59,19.87,-59.23,68.91,0,0,0,0,0,0,11.52,19.57,0
PANTONE 2126 C,30.37,29.54,-68.51,45.02,0,0,0,0,0,0,20.5,34.48,0
PANTONE 2127 C,80.14,-1.02,-19.12,96.64,0,0,0,0,0,0,1.71,1.65,0
PANTONE 2128 C,72.95,-0.54,-31.69,92.81,0,0,0,0,0,0,3.85,3.34,0
PANTONE 2129 C,57.86,2.83,-48.89,81.74,0,0,0,0,0,0,10.06,8.2,0
PANTONE 213 C,52.28,75.72,2.25,19.41,19.76,0,60.83,0,0,0,0,0,0
PANTONE 2130 C,50.41,10.99,-55.24,74.91,0,0,0,0,0,0,11.69,13.4,0
PANTONE 2131 C,40.22,14.44,-59.55,63.72,0,0,0,0,0,0,16.9,19.2,0.18
PANTONE 2132 C,37.94,13.65,-66.11,53.91,0,0,0,0,0,0,25.55,20.54,0
PANTONE 2133 C,36.53,5,-50.73,54.97,0,0,0,3.42,0,0,23.92,17.69,0
PANTONE 2134 C,67.3,2.09,-27.76,89.21,0,0,0,0,0,4,1.3,5.49,0
PANTONE 2135 C,57.63,2.98,-33.79,80.21,0,0,0,0,0,8.68,1.29,9.82,0
PANTONE 2136 C,60.9,1.42,-24.38,82.25,0,0,0,0.99,0,8.81,0,7.95,0
PANTONE 2137 C,52.7,2.46,-27.43,72.92,0,0,0,1.82,0,13.2,0,12.06,0
