Pantone,L*,a*,b*,DC21-001 Extender,DC21-101 Bright Red,DC21-102 Rubine,DC21-114 Rhodamine,DC21-201 Orange,DC21-304 Yellow,DC21-402 Green,DC21-501 Process Blue,DC21-604 Violet,DC21-802 Black
PANTONE 364 C,45.11,-26.75,35.05,22.45,0,0,0,0,52.95,0,13.12,0,11.48
PANTONE 365 C,85.54,-20.76,36.29,86.64,0,0,0,0,11.37,0.8,1.19,0,0
PANTONE 366 C,83.53,-24.57,41.37,82.1,0,0,0,0,15.25,1,1.65,0,0
PANTONE 367 C,80.13,-30.71,49.65,72.4,0,0,0,0,23.4,1.82,2.38,0,0
PANTONE 368 C,69.88,-40.33,62.09,38.57,0,0,0,0.11,53.81,0,7.51,0,0
PANTONE 369 C,61.95,-38.81,59.32,19.8,0,0,0,2.27,66.72,0,11.21,0,0
PANTONE 370 C,53.77,-26.69,49.39,20.61,0,0,0,0,63.49,0,9.22,0,6.68
PANTONE 371 C,38.92,-12.8,31.62,21.33,0,0,0,0,49.21,0,7.81,0,21.65
PANTONE 372 C,89.84,-18.74,39.49,87.45,0,0,0,0,10.6,1.95,0,0,0
PANTONE 373 C,88.87,-21.79,44.94,83.78,0,0,0,0,13.71,2.51,0,0,0
PANTONE 374 C,87.46,-25.66,52.02,77.96,0,0,0,0,18.68,3.36,0,0,0
PANTONE 375 C,79.05,-40.56,76.24,36.26,0,0,0,0,54.3,9.44,0,0,0
PANTONE 376 C,70.3,-37.38,72.79,19.31,0,0,0,0,67.06,12.16,0,0,1.47
PANTONE 377 C,59.27,-25.27,59.73,16.57,0,0,0,0,65.35,11.73,0,0,6.35
PANTONE 378 C,39.55,-11.32,35.6,13.76,0,0,0,0,52.16,10.58,0,0,23.5
PANTONE 379 C,89.84,-13.58,57.55,80.43,0,0,0,0,18.71,0.86,0,0,0
PANTONE 380 C,87.87,-16.51,70.31,69.4,0,0,0,0,29.22,1.38,0,0,0
PANTONE 381 C,84.62,-20.43,83.95,47.46,0,0,0,0,50.5,1.37,0.67,0,0
PANTONE 382 C,82.15,-21.69,83.87,40.53,0,0.29,0,0,55.75,3.43,0,0,0
PANTONE 383 C,68.55,-14.34,74.08,21.18,0,0,0,0,73,0,2.29,0,3.53
PANTONE 384 C,59.56,-9.93,64.53,13.24,0,0,0,0,76.79,0,2.29,0,7.68
PANTONE 385 C,47.53,-4.22,42.47,32.34,0,0,0,0,47.3,2.17,0,0,18.19
PANTONE 386 C,91.47,-12.36,57.83,80.83,0,0,0,0,18.52,0.65,0,0,0
PANTONE 387 C,89.74,-16.05,76.31,64.04,0,0,0,0,34.7,1.26,0,0,0
PANTONE 388 C,89.1,-17.23,80.34,58.58,0,0,0,0,39.91,1.51,0,0,0
PANTONE 389 C,85.36,-21.77,93.45,29.22,0,0,0,0,67.93,2.85,0,0,0
PANTONE 390 C,74.1,-17.47,85.84,6.45,0,0,0,0,87.65,3.77,0,0,2.13
PANTONE 391 C,60.54,-8.71,67.27,9.32,0,0,0,0,79.75,2.92,0,0,8.01
PANTONE 392 C,50.82,-5.09,53.91,10.96,0,0,0,0,71.8,2.57,0,0,14.67
PANTONE 393 C,92.26,-9.46,54.7,83.74,0,0,0,0,16,0.26,0,0,0
PANTONE 3935 C,91.53,-8.5,64.7,78.36,0,0,0,0,21.64,0,0,0,0
PANTONE 394 C,90.99,-12.02,76.3,66.67,0,0,0,0,32.73,0.6,0,0,0
PANTONE 3945 C,90.12,-9.14,90.73,50.58,0,0,0,0,49.1,0.32,0,0,0
PANTONE 395 C,90.32,-12.8,83.16,58.44,0,0,0,0,40.8,0.76,0,0,0
PANTONE 3955 C,88.1,-8.53,103.8,19.96,0,0.02,0,0,79.49,0.53,0,0,0
PANTONE 396 C,86.99,-15.34,98.33,25.79,0,0,0,0,72.63,1.58,0,0,0
PANTONE 3965 C,87.14,-7.73,102.92,19.06,0,0,0,0.46,79.77,0.71,0,0,0
PANTONE 397 C,73.5,-10.52,85.44,11.22,0,0,0,4.15,81.69,0,2.94,0,0
PANTONE 3975 C,68.28,-2.41,79.43,7.75,0,0,0,0,86.81,0,0,0,5.44
PANTONE 398 C,66.49,-7.83,75.21,15.94,0,0,0,8.76,70.66,0,4.64,0,0
PANTONE 3985 C,56.41,-0.73,60.46,19.52,0,0,0,0.79,68.25,0,0,0,11.44
PANTONE 399 C,60.32,-4.37,68.44,5.52,0,0,0,0,84.66,1.12,0,0,8.7
PANTONE 3995 C,39.31,-0.26,35.02,26.91,0,0,0,0,45.34,0,0,0,27.75
PANTONE 400 C,77.75,1.75,1.97,92.1,3.71,0,0,0.93,0,3.26,0,0,0
PANTONE 4001 C,87.53,-0.13,28.42,92.22,0,0,0,0.35,6.72,0,0,0.71,0
PANTONE 4002 C,80.8,2.2,34.14,87.89,0,0,0,2.06,8.34,0,0,0,1.71
PANTONE 4003 C,81.01,0.49,22.44,92.31,0,0,0,1.03,4.64,0,0,0,2.02
PANTONE 4004 C,75.03,1.29,31.59,85.15,0,0,0,1.91,9.52,0,0,0,3.42
PANTONE 4005 C,71.57,3.25,24.82,83.35,0,0,2.39,0,10.17,0,0,0,4.09
PANTONE 4006 C,68.5,5.18,26.49,79.07,0,0,3.52,0,12.62,0,0,0,4.79
PANTONE 4007 C,63.37,4.81,29.06,72.65,0,0,3.89,0,16.49,0,0,0,6.97
PANTONE 4008 C,77.24,19.6,71.81,58.42,0,0,0,9.32,31.12,0,0,1.14,0
PANTONE 4009 C,72.72,28.72,53.23,72.08,0,0,0,16.86,9.31,0,0,1.75,0
PANTONE 401 C,69.49,1.95,2.97,93.45,0,0,0,0.11,0,0,0,0.28,6.16
PANTONE 4010 C,60.28,47.45,64.76,47.95,0,3.22,0,47.89,0,0,0.94,0,0
PANTONE 4011 C,61.99,42.67,39.69,58.11,0,10.77,0,0,30.97,0,0.15,0,0
PANTONE 4012 C,63.17,45.87,49.33,62.94,9.94,0,0,25.91,0,0,0,0,1.21
PANTONE 4013 C,57.11,36.05,52.21,54.68,5.22,0,0,35.61,0,0,0,0,4.49
PANTONE 4014 C,53.31,32.63,30.05,62.73,0,5.87,0,27.95,0,0,3.45,0,0
PANTONE 4015 C,79.82,-3.25,47.45,76.11,0,1.46,0,0,20.77,1.66,0,0,0
PANTONE 4016 C,77.69,-0.82,63.33,57.49,0,0,4.15,0,36.36,2,0,0,0
PANTONE 4017 C,76.98,5.59,62.19,66.4,0,0,0,4.14,27.43,0,0,0,2.03
PANTONE 4018 C,74.18,3.77,53.53,70.26,0,0,0,3.57,23.12,0,0,0,3.05
PANTONE 4019 C,70.1,3.02,46.72,71,0,0,0,3.45,20.97,0,0,0,4.58
PANTONE 402 C,62.54,2.17,3.46,89.61,0,0,0.67,0,0,0.22,0,0,9.5
PANTONE 4020 C,67.11,3.78,72.87,9.64,0,0,9.17,0,76.78,4.41,0,0,0
PANTONE 4021 C,62.52,4.56,49.64,51.61,0,0,4.04,0,37.56,0,0,0,6.79
PANTONE 4022 C,74.76,6.47,27.67,82.47,0,2.77,0,0,13.68,0,1.08,0,0
PANTONE 4023 C,74.99,5.34,40.13,80.93,0,0,0,3.97,12.23,0,0,0,2.87
PANTONE 4024 C,73.5,9.64,38.54,73.9,7.1,0,0,0,16.88,2.12,0,0,0
PANTONE 4025 C,70.43,16.31,50.37,64.3,0,0,0,5.48,26.19,0,0,4.03,0
PANTONE 4026 C,62.31,14.99,46.02,50.42,0,0,0,2.18,39.06,0,0,8.34,0
PANTONE 4027 C,46.13,13.57,42.05,42.01,0,0,0,20.18,21.5,0,0,0,16.31
PANTONE 4028 C,43.82,10.78,34.21,48.08,0,0,0,16.06,16.36,0,0,0,19.5
PANTONE 4029 C,84.27,7.59,19.28,93.61,0,0,0,1.77,3.56,0,0,1.06,0
PANTONE 403 C,55.83,2.35,3.98,85.8,0,0,0,0,0,0,0,0.42,13.78
PANTONE 4030 C,84.65,12.67,15.86,95.15,0,0.9,0,1.76,2.19,0,0,0,0
PANTONE 4031 C,84.44,11.95,7.91,95.51,0,1.17,0.7,0,2.62,0,0,0,0
PANTONE 4032 C,85.41,16.07,7.09,95.88,0,0,2.14,1.98,0,0,0,0,0
PANTONE 4033 C,81.98,21.55,13.21,93.25,0,0,3,3.75,0,0,0,0,0
PANTONE 4034 C,67.02,19.84,21.96,78.95,0,0,0,5.95,9.32,0,0,5.78,0
PANTONE 4035 C,66.5,18.52,21.93,76.9,0,5.85,0,0,15.88,0,1.37,0,0
PANTONE 4036 C,67.39,15.67,3.83,83.72,0,0,6.96,6.67,0,0,2.65,0,0
PANTONE 4037 C,58.51,22.2,10.96,79.4,0,0,0,11.08,0,0,0,6.41,3.11
PANTONE 4038 C,55.66,25.66,14.21,74.37,0,0,0,14.93,0,0,0,8.02,2.68
PANTONE 4039 C,52.53,28.65,15.13,60.68,23.9,0,0,8.34,0,7.08,0,0,0
PANTONE 404 C,47.47,2.77,4.64,78.92,0,0,0,0.03,0,0,0,0.56,20.49
PANTONE 4040 C,49.77,17.99,8.47,73.23,0,0,0,10.9,0,0,0,7.02,8.85
PANTONE 4041 C,43.92,15.7,6.98,19.03,0,0,41.91,0,23.54,15.52,0,0,0
PANTONE 4042 C,42.62,12.06,8.53,46.27,0,0,15.61,25.61,0,0,12.51,0,0
PANTONE 4043 C,81.55,9.48,11.02,95.71,0.95,0,0,2.1,0,0,0,0,1.24
PANTONE 4044 C,69.49,12.96,13.81,83.81,0,4.48,0,0,10.2,0,1.51,0,0
PANTONE 4045 C,65.42,13.28,12.92,87.06,3.39,0,0,4.15,0,0,0,0,5.4
PANTONE 4046 C,64.79,9.94,12.49,71.01,0,0,12.64,0,13.31,0,3.04,0,0
PANTONE 4047 C,60.91,11.14,14.03,80.99,6.28,0,0,0,5.42,0,0,0,7.31
PANTONE 4048 C,57.21,10.47,15.78,70.68,0,0,5.6,17.49,0,0,6.23,0,0
PANTONE 4049 C,56.11,7.63,11.51,66.11,0,8.97,0,0,16.26,8.66,0,0,0
PANTONE 405 C,41.94,2.7,4.58,71.64,0,0,1.85,0,0,1.09,0,0,25.42
PANTONE 4050 C,74.38,17.29,14.26,84.47,0,0,4.87,0,8.31,0,0,2.35,0
PANTONE 4051 C,66.67,34.81,21.12,83.84,0,3.99,0,10.92,0,0,0,0,1.25
PANTONE 4052 C,66.06,33.06,19.45,84.19,0,3.98,0,10.24,0,0,0,0,1.59
PANTONE 4053 C,61.44,35.1,21.74,70.96,0,9.97,0,0,18.26,0,0.81,0,0
PANTONE 4054 C,46.72,36.2,26.99,58.98,0,8.16,0,24.88,0,0,0,0,7.98
PANTONE 4055 C,46.16,34.67,24.05,60.45,0,8.25,0,22.6,0,0,0,0,8.7
PANTONE 4056 C,40.84,24.59,13.98,56.61,20.21,0,0,7.29,0,0,0,0,15.89
PANTONE 4057 C,59.98,51.06,28.69,71.86,0,8.62,0,18.93,0,0.59,0,0,0
PANTONE 4058 C,56.01,61.19,27.89,41.56,0,0,36.2,21.72,0,0.52,0,0,0
PANTONE 4059 C,45.52,59.57,25.35,4.12,0,0,64.35,28.63,0,2.9,0,0,0
PANTONE 406 C,76.77,3.36,0.3,91.68,4.57,0,0,0.47,0,3.28,0,0,0
PANTONE 4060 C,45.65,57.06,24.39,41.46,0,27.25,0,0,28.85,0,0,0,2.44
PANTONE 4061 C,53.38,38.39,17.88,60.2,27.93,0,0,7.19,0,4.68,0,0,0
PANTONE 4062 C,44.03,43.17,20.38,26.23,0,0,39.5,29.66,0,0,4.61,0,0
PANTONE 4063 C,40.5,39.67,25.87,15.29,0,0,38.89,39.42,0,0,6.4,0,0
PANTONE 4064 C,78.98,23.53,-0.26,91.89,0,0,5.87,1.85,0,0.39,0,0,0
PANTONE 4065 C,76.76,23.14,2.11,92.89,4.67,0,0,1.1,0,0,0,1.34,0
PANTONE 4066 C,73.93,30.19,10.42,89.22,7.19,0,0,2.67,0,0,0,0.92,0
PANTONE 4067 C,73.24,30.42,8.48,89.05,7.62,0,0,2.21,0,0,0,1.12,0
PANTONE 4068 C,69.35,35.64,8.64,84.42,14.43,0,0,0.37,0,0.78,0,0,0
PANTONE 4069 C,51.47,51.32,14.5,56.67,41.45,0,0,0,0,0,1.88,0,0
PANTONE 407 C,69.44,4.16,1.48,90.41,3.88,0,0,0,0,2,0,0,3.71
PANTONE 4070 C,45.05,51.84,15.13,42.77,54.08,0,0,0,0,0,3.15,0,0
PANTONE 4071 C,65.09,32.7,-3.11,84.83,11.32,0,0,0,0,0,0,3.46,0.39
PANTONE 4072 C,64.43,45.14,-1.36,83.69,10.9,4.24,0,0,0,0,0,1.17,0
PANTONE 4073 C,50.66,55.27,2.46,36.64,0,0,50.04,10.76,0,2.56,0,0,0
PANTONE 4074 C,29.62,45.94,-2.72,28.16,0,42.96,0,15.04,0,13.84,0,0,0
PANTONE 4075 C,34.58,38.02,-0.97,35.17,0,33.55,0,0,18.8,12.48,0,0,0
PANTONE 4076 C,37.43,31.11,-2.08,27.45,40.34,0,16.75,0,0,15.46,0,0,0
PANTONE 4077 C,38.09,30.02,2.25,53.53,28.09,0,0,0,0,0,0,5.53,12.85
PANTONE 4078 C,82.23,18.45,-9.8,94.72,0,0,4.78,0.07,0,0.43,0,0,0
PANTONE 4079 C,72.85,20.05,-12.33,92.64,3.51,0,0,0,0,0.33,0,3.52,0
PANTONE 408 C,59.17,5.04,1.21,81.55,8,0,0,0,0,4.53,0,0,5.92
PANTONE 4080 C,75.71,17.42,-13.38,95.85,0,1.48,0,0,0,0,0,2,0.67
PANTONE 4081 C,63.68,16.83,-11.13,86.4,0,0,0,4,0,2.07,0,7.53,0
PANTONE 4082 C,52.05,33.67,-14.56,54.55,0,0,33.92,4.2,0,7.33,0,0,0
PANTONE 4083 C,45.12,27.82,-25.93,39.75,0,0,44.27,1.74,0,14.24,0,0,0
PANTONE 4084 C,33.82,29.43,-13.59,52.44,0,0,0,12.04,0,0,0,28.35,7.17
PANTONE 4085 C,75.94,7.27,3.35,92.49,0,0,0,0,3.57,0,0,2.94,1
PANTONE 4086 C,70.15,10.56,-0.23,89.39,0,0,0,0,4.45,0,0,4.89,1.27
PANTONE 4087 C,67.82,10.23,3.9,84.38,0,0,0,0,8.47,0,0.49,6.66,0
PANTONE 4088 C,60.53,11.13,6.9,76.61,0,0,7.07,11.25,0,0,5.07,0,0
PANTONE 4089 C,60.54,10.12,2.54,77.43,0,0,7.72,9.58,0,0,5.27,0,0
PANTONE 409 C,51.55,5.31,2.4,82.72,0,1.09,0,0,0,0,0,0.54,15.65
PANTONE 4090 C,51.37,10.56,8.24,63.37,0,0,10.03,18.01,0,0,8.59,0,0
PANTONE 4091 C,43.63,12.59,3.91,72.12,0,5.51,0,0,3.92,0,0,0,18.45
PANTONE 4092 C,72.35,16.7,-6.18,90.73,5.75,0,0,0,0,1.56,0,1.96,0
PANTONE 4093 C,62.81,13.82,-0.19,87.75,0,0,0,3.47,0,0,0,4.41,4.37
PANTONE 4094 C,49.31,19.55,-3.07,70.17,0,0,0,13.95,0,0,3.85,12.03,0
PANTONE 4095 C,44.6,24.1,-3.36,68.18,0,0,0,10.44,0,0,0,14.85,6.53
PANTONE 4096 C,37.2,21.67,5.46,55.64,0,0,0,16.24,0,0,0,14.59,13.53
PANTONE 4097 C,37.49,19.94,2.41,34.31,0,0,0,0,33.33,0,2.01,30.35,0
PANTONE 4098 C,32.88,14.86,8.9,51.16,0,9.22,0,0,12.08,0,0,0,27.54
PANTONE 4099 C,59.76,16.6,3.76,84.06,0,0,0,6.08,0,0,0,5.26,4.6
PANTONE 410 C,44.7,5.88,2.83,75.4,1.91,0,0,0,0,0,0,1.89,20.8
PANTONE 4100 C,39.15,22.21,7.55,57.44,0,0,0,17.09,0,0,0,13.48,11.99
PANTONE 4101 C,24.1,31.35,11.42,6.12,52.18,0,12.64,0,0,0,0,0,29.06
PANTONE 4102 C,20.42,29.01,8.29,20.19,0,26.83,0,17.83,0,0,0,0,35.15
PANTONE 4103 C,21.68,22.46,2.36,8.35,60.8,0,0,0,0,0,11.89,0,18.96
PANTONE 4104 C,27.69,12.88,3.37,2.01,56.57,0,0,5.73,0,35.69,0,0,0
PANTONE 4105 C,31.54,16.81,13.43,9.33,44.29,0,0,18.27,0,28.11,0,0,0
PANTONE 4106 C,72.31,12.31,-4.22,86.74,0,0,7.32,2.36,0,3.58,0,0,0
PANTONE 4107 C,63.7,13.92,-8.76,76.92,0,0,13.17,3.16,0,6.75,0,0,0
PANTONE 4108 C,58.98,17.24,-8.1,88.07,0,3.51,0,0,0,0,0,2.18,6.24
PANTONE 4109 C,55.05,19.11,-6.15,78.12,0,0,0,9.38,0,0,2.5,10,0
PANTONE 411 C,36.15,6.01,2.78,66.49,0,1.4,0,0,0,0,0,1.79,30.32
PANTONE 4110 C,49.58,15.38,-7.97,61.88,0,0,18.53,10.98,0,0,8.61,0,0
PANTONE 4111 C,41.7,18.86,-6.34,31.11,0,0,37.39,12.18,0,19.32,0,0,0
PANTONE 4112 C,49.44,14.63,-0.77,60.75,0,0,16.19,14.43,0,0,8.63,0,0
PANTONE 4113 C,60.95,10.48,-2.39,87.92,0,0,0,1.75,0,0,0,3.96,6.37
PANTONE 4114 C,59.99,8.96,-4.73,70.85,0,0,15.68,0,8.48,0,4.99,0,0
PANTONE 4115 C,55.86,10.48,-1.29,61.93,0,0,19.94,0,12.29,0,5.84,0,0
PANTONE 4116 C,56.96,9.39,0.35,78.28,0,0,0,11.14,0,0,4.79,5.79,0
PANTONE 4117 C,44.5,9.49,-10.72,65.09,0,0,0,14.07,0,0,9.18,11.66,0
PANTONE 4118 C,26.07,10.79,-12.49,40.65,0,18.52,0,0,0,19.48,0,0,21.35
PANTONE 4119 C,24.77,6.6,-7.84,19.17,0,0,31.78,0,0,18.55,0,0,30.5
PANTONE 412 C,20.81,4.34,2.07,38.29,0,0,0,0,0,1.8,0,5.97,53.94
PANTONE 4120 C,72.58,11.68,-20.79,93.68,0,2.62,1.57,0,0,0,2.13,0,0
PANTONE 4121 C,60.81,13.98,-23.13,73,0.19,0,17.96,0,0,8.85,0,0,0
PANTONE 4122 C,49.23,18.24,-38,75.74,0,9.46,5.56,0,0,0,9.24,0,0
PANTONE 4123 C,69.09,4.19,-14.95,85.89,0,0,8.05,0,2.34,0,3.72,0,0
PANTONE 4124 C,60.93,6.14,-20.34,85.92,0,0,0,0,0,4.49,0,7.07,2.52
PANTONE 4125 C,40.95,5.63,-15.94,49.13,0,0,20.86,13.18,0,0,16.83,0,0
PANTONE 4126 C,30.72,13.57,-19.02,42.67,0,0,0,19.62,0,0,14.58,23.13,0
PANTONE 4127 C,54.59,4.64,-14.22,78.62,0,0,9.71,0,0,0,4.8,0,6.87
PANTONE 4128 C,47.86,4.39,-14.87,65.71,0,0,0,0,12.48,0,6.53,15.28,0
PANTONE 4129 C,46.68,1.46,-12.92,63.52,21.16,0,0,0,2.7,0,12.62,0,0
PANTONE 413 C,75.44,-0.7,1.8,90.22,4.14,0,0,1.17,0,4.47,0,0,0
PANTONE 4130 C,38.08,0.92,-14.2,50.19,24.39,0,0,6.08,0,0,19.34,0,0
PANTONE 4131 C,32.1,2.81,-13.1,28.84,0,0,30.16,0,0,23.83,0,0,17.17
PANTONE 4132 C,25.09,3.94,-10.68,47.5,0,0,0,0,0,0,7.06,12.63,32.81
PANTONE 4133 C,25.14,3.19,-8.32,47.75,0,0,0,0,0,0,6.48,10.8,34.97
PANTONE 4134 C,66.99,3.13,-11.37,82.9,0,0,9.08,0,3.8,0,4.22,0,0
PANTONE 4135 C,55.42,1.68,-16.51,76.75,0,0,0,0,7.61,0,5.48,10.16,0
PANTONE 4136 C,45.94,-0.52,-15.56,68.84,0,6.47,0,10.07,0,0,14.62,0,0
PANTONE 4137 C,38.55,-2.69,-19.29,40.78,18.59,0,0,0,0,30.43,0,10.2,0
PANTONE 4138 C,39.14,-1.5,-16.23,49.06,0,0,0,0,18.63,0,12.48,19.83,0
PANTONE 4139 C,37.65,0.03,-13.81,49.12,23.91,0,0,6.89,0,0,20.08,0,0
PANTONE 414 C,68.96,-0.84,2.63,92.47,0,0,0.28,0,0,1.01,0,0,6.24
PANTONE 4140 C,25.81,0.83,-8.41,48.7,0,0,0,0,0,0,8.02,8.99,34.29
PANTONE 4141 C,42.55,5.69,-39.91,49.17,0,0,28.89,0,3.52,0,18.42,0,0
PANTONE 4142 C,33.65,5.9,-32.68,37.99,0,0,0,0,7.33,24.56,0,30.12,0
PANTONE 4143 C,35.32,0.02,-20.17,63.08,0,8.71,0,0,0,0,13.84,0,14.37
PANTONE 4144 C,25.75,7.08,-19.87,39.47,0,0,0,0,0,15.65,0,23.69,21.19
PANTONE 4145 C,21.64,4.61,-18.97,27.72,0,0,0,0,0,21.07,0,25.75,25.46
PANTONE 4146 C,11.56,5.44,-17.38,6.44,0,0,0,0,0,0,17.44,31.35,44.77
PANTONE 4147 C,14.79,9.07,-18.91,9.94,0,0,0,0,0,18.69,0,37.55,33.82
PANTONE 4148 C,59.21,-12.5,-22.52,82.13,0,0,0,3.87,0,0,11.02,2.98,0
PANTONE 4149 C,67.87,-4.95,-22.05,87.04,0,0,0,0.21,0,7.84,0,4.91,0
PANTONE 415 C,60.66,-1.57,2.95,87.54,0,0,0.4,0,0,1.95,0,0,10.11
PANTONE 4150 C,51.08,-0.5,-39.68,76.41,0,0,0,2.16,0,0,12.4,9.03,0
PANTONE 4151 C,40.26,-8.66,-48.88,45.66,0,0,18.39,2.21,0,0,33.74,0,0
PANTONE 4152 C,33.47,1.34,-44.29,31.26,0,0,30.7,5.18,0,0,32.86,0,0
PANTONE 4153 C,32.18,1.33,-41.24,28.32,0,0,31.63,6.88,0,0,33.17,0,0
PANTONE 4154 C,26.56,-0.23,-36.07,24.82,29.31,0,0,0,0,0,37.9,7.97,0
PANTONE 4155 C,79.88,-3.56,-7.93,96.25,0,0,1.09,0,0,0,1.47,0,1.19
PANTONE 4156 C,74.7,-10.3,-15.1,94.5,0,0,0,0,0,0,3.39,0.77,1.34
PANTONE 4157 C,66.57,-18.69,-21.6,87.51,0,0,0,2.18,0,0,9.31,1,0
PANTONE 4158 C,49.23,-15.84,-22.97,59.11,0,0,14.74,0,7.99,0,18.16,0,0
PANTONE 4159 C,32.77,-14.19,-35.36,47.32,0,0,0,0,0,0,32.66,9,11.02
PANTONE 416 C,52.84,-1.39,3.68,81.57,0,0,0.53,0,0,2.58,0,0,15.32
PANTONE 4160 C,27.14,-13.93,-22.51,41.98,0,0,0,0,0,0,28.55,7.14,22.33
PANTONE 4161 C,30.54,-6.81,-13.72,26.62,34.86,0,0,0,9.24,0,29.28,0,0
PANTONE 4162 C,81.01,-15.69,-2.26,93.04,0,0,0,0.97,0,5.39,0,0.6,0
PANTONE 4163 C,76.75,-22,-1.7,88.84,0,0.57,0,1.37,0,9.22,0,0,0
PANTONE 4164 C,48.05,-32.55,-2.58,51.36,0,0,0,13.37,0,19.15,16.12,0,0
PANTONE 4165 C,39.52,-25.26,-4.2,55.57,0,0,0,0,8.73,0,19.7,0,16
PANTONE 4166 C,45.24,-18.73,-6.02,60.62,0,0,0,0,0,22.8,0,3.56,13.02
PANTONE 4167 C,38.7,-19.96,-2.28,46.39,0,0,0,23.07,0,0,29.11,0,1.43
PANTONE 4168 C,26.63,-11.59,-5.72,5.76,38.77,0,0,0,20.16,0,35.31,0,0
PANTONE 4169 C,79.15,-5.73,-3.17,93.44,0,1.51,0,0,1.35,3.7,0,0,0
PANTONE 417 C,42.87,-1.75,3.95,70.99,0,0,0.98,0,0,4.37,0,0,23.66
PANTONE 4170 C,74.66,-8.13,-5.7,92.54,1.39,0,0,2.18,0,0,3.89,0,0
PANTONE 4171 C,72.88,-10.21,-5.33,93.26,0,0,0,1.16,0,0,3.36,0,2.22
PANTONE 4172 C,68.3,-16.67,-5.63,87.59,0,0,0,4.53,0.35,0,7.53,0,0
PANTONE 4173 C,74.59,-21.12,-9.09,90.86,0,0,0,1.92,0,2.68,4.54,0,0
PANTONE 4174 C,73.52,-19.75,-10.63,91.01,0,0,0,2.15,0,1.33,5.51,0,0
PANTONE 4175 C,73.03,-10.72,-12.93,93.93,0,0.5,0,0,0,0,3.67,0,1.9
PANTONE 4176 C,81.81,-3.16,-0.23,92.86,0,0,2.83,0,1.6,2.71,0,0,0
PANTONE 4177 C,76.7,-1.86,3.91,95.47,0,0,0,0,0.73,0,0.41,0,3.39
PANTONE 4178 C,70.53,-4.26,6.58,91.58,0,0,0,0,2.27,0,1.06,0,5.09
PANTONE 4179 C,65.45,-8.37,13.33,75.02,0,0,0,0,13.15,6.14,0,5.69,0
PANTONE 418 C,34.82,-1.87,3.77,59.18,0,0,2.04,0,0,6.53,0,0,32.25
PANTONE 4180 C,62,-6.02,8.66,85.08,0,0,0,0,4.54,0,2.01,0,8.37
PANTONE 4181 C,53.76,-9,6.51,59.51,0,0,0,0,17.77,11.97,0,10.75,0
PANTONE 4182 C,48.69,-6.41,5.15,51.33,0,0,0,0,21.16,13.33,0,14.18,0
PANTONE 4183 C,77.16,-3.11,1.36,95.89,0,0,0,0,0.36,0,0.69,0,3.06
PANTONE 4184 C,68.23,-6.22,0.35,83.25,0,0,0,0,6.27,5.52,0,4.96,0
PANTONE 4185 C,64.32,-8.89,-3.07,77.77,0,0,7.94,0,7.88,0,6.41,0,0
PANTONE 4186 C,55.95,-11.89,-5.38,65.67,0,0,12.13,0,11.57,0,10.63,0,0
PANTONE 4187 C,50.33,-5.56,-5.49,54.52,0,0,18.74,0,14.92,0,11.82,0,0
PANTONE 4188 C,37.21,-8.55,-4.83,28.41,0,0,0,0,23.89,24.92,0,22.78,0
PANTONE 4189 C,28.42,-13.46,-10.59,5.77,0,23.09,0,0,16.93,54.21,0,0,0
PANTONE 419 C,13.32,-1.07,0.37,0,0,0,11.88,0,0,17.84,0,0,70.28
PANTONE 4190 C,71.48,-4.48,2.15,81.87,0,0,7.02,0,4.74,6.37,0,0,0
PANTONE 4191 C,66.21,-6.16,-2.4,78.72,0,0,6.46,3.85,0,10.97,0,0,0
PANTONE 4192 C,60.19,-6.75,1.82,72.76,0,0,0,0,10.84,8.44,0,7.96,0
PANTONE 4193 C,43.02,-3.38,4.49,38.74,27.92,0,0,0,7.69,25.65,0,0,0
PANTONE 4194 C,40.72,-4.52,-2.93,14.96,0,0,36.81,0,17.82,30.41,0,0,0
PANTONE 4195 C,42.81,1.19,-3.26,46,0,0,0,0,20.76,13.14,0,20.1,0
PANTONE 4196 C,35.27,-2.98,-6.82,13.45,0,0,38.35,0,27.39,0,20.81,0,0
PANTONE 4197 C,62.38,-6.4,1.03,76.24,0,0,0,0,9.19,7.48,0,7.09,0
PANTONE 4198 C,50.65,-8.58,2.16,56.07,0,0,0,0,17.36,13.95,0,12.62,0
PANTONE 4199 C,42.6,-7.03,2.2,38.55,0,0,0,0,24.93,18.16,0,18.36,0
PANTONE 420 C,80.83,0.68,-3.76,95.27,0,0,1.6,1.51,0,0,1.62,0,0
PANTONE 4200 C,43.88,-7.79,0.48,42.64,0,0,0,0,22.09,18.03,0,17.24,0
PANTONE 4201 C,41.66,-10.24,0.76,36.02,0,0,0,0,24.21,21.32,0,18.45,0
PANTONE 4202 C,31.13,-9.2,0.06,4.59,0,0,0,0,36.41,30.3,0,28.7,0
PANTONE 4203 C,28.26,-11.12,0.91,5.13,37.01,0,0,0,26.64,0,31.22,0,0
PANTONE 4204 C,81.88,-9.81,15.28,90.88,0,0,0,0,5.5,2.3,0,1.32,0
PANTONE 4205 C,74.84,-15.08,22.41,83.37,0,1.3,0,0,12.13,0,3.2,0,0
PANTONE 4206 C,67.5,-16.31,15.42,78.47,0,2.36,0,0,13.78,0,5.39,0,0
